Rk,Player,Nation,Pos,Squad,Comp,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
1,Ismael Aaneba,fr FRA,DF,Strasbourg,fr Ligue 1,19,2.3,12,6,7,5,0,5,10,50.0,5,5,0,5,8,20,9,0
2,Patrick van Aanholt,nl NED,DF,Crystal Palace,eng Premier League,27,35.5,48,24,35,11,2,24,40,60.0,16,33,9,24,40,88,91,2
3,Ignazio Abate,it ITA,DF,Milan,it Serie A,31,14.5,34,19,16,13,5,14,22,63.6,8,19,6,13,18,52,50,0
4,Issah Abbas,gh GHA,FW,Mainz 05,de Bundesliga,19,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
5,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,30,38.0,60,33,48,11,1,30,40,75.0,10,44,24,20,65,125,196,0
6,Mehdi Abeid,dz ALG,MF,Dijon,fr Ligue 1,25,22.5,51,33,27,16,8,15,45,33.3,30,33,7,26,29,80,23,1
7,Charles Abi,fr FRA,"DF,FW",Saint-Étienne,fr Ligue 1,18,0.4,4,4,2,1,1,2,2,100.0,0,1,0,1,0,4,1,0
8,David Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,32,15.8,22,14,13,8,1,11,25,44.0,14,23,12,11,24,46,64,0
9,Amir Abrashi,al ALB,MF,Freiburg,de Bundesliga,28,8.8,20,11,7,10,3,6,19,31.6,13,11,3,8,14,34,15,0
10,Francesco Acerbi,it ITA,DF,Lazio,it Serie A,30,36.8,40,30,22,13,5,12,16,75.0,4,50,32,18,61,101,169,1
11,Afriyie Acquah,gh GHA,MF,Empoli,it Serie A,26,16.8,27,9,9,12,6,4,11,36.4,7,11,1,10,12,39,16,0
12,Tyler Adams,us USA,MF,RB Leipzig,de Bundesliga,19,8.0,29,17,12,16,1,11,26,42.3,15,17,1,16,16,45,8,0
13,Antonio Adán,es ESP,GK,Atlético Madrid,es La Liga,31,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
14,Aday,es ESP,"DF,MF",Girona,es La Liga,30,7.2,9,8,2,5,2,6,7,85.7,1,1,0,1,7,16,17,1
15,Khaled Adénon,bj BEN,DF,Amiens,fr Ligue 1,33,22.2,31,22,20,11,0,16,28,57.1,12,26,11,15,31,62,101,0
16,Claud Adjapong,it ITA,"MF,FW",Sassuolo,it Serie A,20,3.0,4,2,1,3,0,1,2,50.0,1,3,1,2,1,5,4,0
