player,xg_plus_minus,touches_live_ball,through_balls,interceptions,shots_blocked,sca_shots,sca_passes_live,progressive_passes_received,passes_progressive_distance,passes_pct_short,xg_plus_minus score,touches_live_ball score,through_balls score,interceptions score,shots_blocked score,sca_shots score,sca_passes_live score,progressive_passes_received score,passes_progressive_distance score,passes_pct_short score,Segment K-Means PFA,year,league,minutes
"Mehdi Abeid, 2019",0.0,60.28175976272862,0.17795353435491842,1.2901631240731588,0.31141868512110726,0.044488383588729606,1.3346515076618883,2.2244191794364805,165.7192288680178,3.9995056846267922,-0.005169941168570449,0.008860726259422002,-0.009406943490487258,-0.01913816131204626,0.00018581658564731723,-0.002729101526203271,0.012865519568463367,0.002888633400417882,-0.007236518682695057,-0.0024539403195559376,0,2019,Ligue 1,2023.0
"Amir Abrashi, 2019",-0.06835443037974684,52.51898734177215,0.0,1.5949367088607596,0.34177215189873417,0.0,0.9113924050632911,1.0253164556962024,126.22784810126582,10.082278481012658,-0.005794322814317716,0.013489001518627364,-0.011993051123491357,-0.025544731767274016,-0.001258121627239691,-0.0048391977443878265,0.01610432613281994,0.006486863614717308,-0.01158831173578795,-0.002906845788470239,4,2019,Bundesliga,790.0
"Afriyie Acquah, 2019",0.8105960264900662,53.70198675496688,0.11920529801324503,0.7152317880794702,0.059602649006622516,0.23841059602649006,2.0264900662251657,4.529801324503311,136.49006622516555,5.3582781456953645,0.003115224100724061,-0.0050561865932323225,0.005674088793235503,0.01071029987692393,-0.00016736321262244162,0.001275023994213306,-0.007180922537072376,-0.0021260727113315116,0.004093591697627239,0.0014928315272646256,4,2019,Serie A,1510.0
"Tyler Adams, 2019",-0.8488210818307905,80.01386962552012,0.49930651872399445,1.9972260748959778,0.12482662968099861,0.0,1.2482662968099862,1.4979195561719834,266.005547850208,10.423023578363384,-0.011350785416006504,0.016238099289030146,-0.019582875599013713,-0.03801412531824896,0.0015119401437309029,-0.003266456945218923,0.02592734243159357,0.004929609798575599,-0.013143186387814462,-0.00559347644182243,3,2019,Bundesliga,721.0
"Aday, 2019",-0.1116279069767442,53.02325581395349,0.0,0.9767441860465116,0.0,0.27906976744186046,2.511627906976744,5.5813953488372094,193.3953488372093,12.516279069767442,0.003917431603948431,-0.0062317477062424215,0.006845230688299419,0.014016230034886463,-0.0003334638339091626,0.0019484691320120731,-0.0096266505024609,-0.0015363586418660332,0.004871697673658314,0.001753078615687065,0,2019,La Liga,645.0
"Jean-Eudes Aholou, 2019",0.4855813953488372,55.33953488372093,0.33488372093023255,1.4232558139534883,0.0,0.25116279069767444,1.6744186046511627,2.26046511627907,171.71162790697676,7.41767441860465,6.737405173197846e-05,-0.0007489647501284589,0.00039086818010032923,0.0005031318274716141,0.00020087715211505395,0.00047027114213018997,-0.0002569863294345798,-0.0007160992112181871,0.0006539595738249877,-1.466721407751647e-05,0,2019,Ligue 1,1075.0
"Youssef Aït Bennasser, 2019",0.16346153846153846,71.92307692307693,0.28846153846153844,1.826923076923077,0.19230769230769232,0.0,1.7307692307692308,1.1538461538461537,243.46153846153848,8.663461538461538,-0.010366381991487216,0.01643540958714758,-0.018372519712817593,-0.03696077012959046,0.0008383882347023134,-0.004096803821226219,0.024882265435463242,0.005186756963217395,-0.013553055931554989,-0.005118945257529819,3,2019,Ligue 1,936.0
"Youssef Aït Bennasser, 2019",-0.0754892823858341,70.54054054054053,0.2516309412861137,1.2581547064305685,0.4193849021435228,0.0,2.180801491146319,1.0904007455731595,318.2292637465051,7.733457595526562,-0.014381649014045098,0.02302302196037154,-0.025641915878314245,-0.051120990697953034,0.0011252444031234251,-0.006099711333318617,0.034532161007920247,0.007392905570626296,-0.01888179739792287,-0.006998616398462675,3,2019,Ligue 1,1073.0
"Chadrac Akolo, 2019",-0.5828571428571429,39.42857142857143,0.0,0.6857142857142857,0.0,0.34285714285714286,2.571428571428571,6.857142857142858,60.85714285714286,15.257142857142856,0.01179233824865084,-0.017873841581053762,0.020443081772355556,0.04117972458399496,-0.0014153855487349868,0.004927764704334775,-0.028331373165214644,-0.004320749657426336,0.014355883032727489,0.0055675288194974425,2,2019,Bundesliga,525.0
"Lucas Alario, 2019",-0.17075098814229248,40.69565217391305,0.0,0.07114624505928854,0.0,0.07114624505928854,2.0632411067193677,6.1185770750988135,45.81818181818181,5.841106719367588,0.011232374360328177,-0.018500649023534675,0.020281323155191266,0.040638521483465216,-0.0006632780778464264,0.005213944521918872,-0.02737256616805153,-0.006096772041626436,0.015198243276548605,0.005461760705577202,2,2019,Bundesliga,1265.0
