Rk,Player,Nation,Pos,Squad,Comp,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
1,Ismael Aaneba,fr FRA,DF,Strasbourg,fr Ligue 1,19,2.3,3,1.32,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0
2,Patrick van Aanholt,nl NED,DF,Crystal Palace,eng Premier League,27,35.5,86,2.42,67,8,2,7,2,0,6,0.17,4,1,0,1,0,0
3,Ignazio Abate,it ITA,DF,Milan,it Serie A,31,14.5,23,1.59,23,0,0,0,0,0,1,0.07,1,0,0,0,0,0
4,Issah Abbas,gh GHA,FW,Mainz 05,de Bundesliga,19,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
5,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,30,38.0,25,0.66,17,1,3,4,0,0,2,0.05,2,0,0,0,0,0
6,Mehdi Abeid,dz ALG,MF,Dijon,fr Ligue 1,25,22.5,41,1.82,30,4,4,1,1,1,2,0.09,2,0,0,0,0,0
7,Charles Abi,fr FRA,"DF,FW",Saint-Étienne,fr Ligue 1,18,0.4,2,5.63,0,0,1,0,1,0,0,0.00,0,0,0,0,0,0
8,David Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,32,15.8,12,0.76,9,0,1,1,1,0,1,0.06,0,0,0,1,0,0
9,Amir Abrashi,al ALB,MF,Freiburg,de Bundesliga,28,8.8,8,0.91,8,0,0,0,0,0,0,0.00,0,0,0,0,0,0
10,Francesco Acerbi,it ITA,DF,Lazio,it Serie A,30,36.8,31,0.84,27,0,0,1,3,0,2,0.05,1,0,0,1,0,0
11,Afriyie Acquah,gh GHA,MF,Empoli,it Serie A,26,16.8,44,2.62,34,0,4,4,2,0,1,0.06,1,0,0,0,0,0
12,Tyler Adams,us USA,MF,RB Leipzig,de Bundesliga,19,8.0,12,1.50,10,0,1,0,1,0,3,0.37,3,0,0,0,0,0
13,Antonio Adán,es ESP,GK,Atlético Madrid,es La Liga,31,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
14,Aday,es ESP,"DF,MF",Girona,es La Liga,30,7.2,28,3.91,18,6,1,2,1,0,2,0.28,2,0,0,0,0,0
15,Khaled Adénon,bj BEN,DF,Amiens,fr Ligue 1,33,22.2,11,0.50,8,0,0,1,2,0,0,0.00,0,0,0,0,0,0
16,Claud Adjapong,it ITA,"MF,FW",Sassuolo,it Serie A,20,3.0,1,0.33,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
17,Yacine Adli,fr FRA,MF,Bordeaux,fr Ligue 1,18,2.4,10,4.17,9,0,1,0,0,0,0,0.00,0,0,0,0,0,0
18,Ali Adnan Kadhim,iq IRQ,DF,Atalanta,it Serie A,24,1.8,8,4.34,4,2,1,1,0,0,0,0.00,0,0,0,0,0,0
19,Aritz Aduriz,es ESP,FW,Athletic Club,es La Liga,37,10.5,19,1.81,14,0,0,3,2,0,1,0.10,1,0,0,0,0,0
20,Luis Advíncula,pe PER,DF,Rayo Vallecano,es La Liga,28,26.5,50,1.88,33,4,5,1,7,0,11,0.41,6,0,2,0,3,0
21,Martin Agirregabiria,es ESP,DF,Alavés,es La Liga,22,22.6,22,0.97,21,0,1,0,0,0,1,0.04,1,0,0,0,0,0
22,Nayef Aguerd,ma MAR,DF,Dijon,fr Ligue 1,22,11.7,8,0.69,5,1,1,0,1,0,0,0.00,0,0,0,0,0,0
23,Sergio Agüero,ar ARG,FW,Manchester City,eng Premier League,30,27.3,91,3.33,60,1,11,10,7,2,19,0.70,14,0,2,2,1,0
24,Ruben Aguilar,fr FRA,DF,Montpellier,fr Ligue 1,25,28.1,103,3.67,80,8,6,2,7,0,7,0.25,6,0,0,1,0,0
25,Juan Aguilera,es ESP,MF,Huesca,es La Liga,32,3.8,6,1.57,6,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Rk,Player,Nation,Pos,Squad,Comp,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
26,Emmanuel Agyemang-Badu,gh GHA,MF,Udinese,it Serie A,27,1.8,2,1.12,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
27,Jean-Eudes Aholou,ci CIV,MF,Monaco,fr Ligue 1,24,11.9,28,2.34,20,0,3,3,1,1,3,0.25,2,0,0,1,0,0
28,Antonis Aidonis,de GER,DF,Stuttgart,de Bundesliga,17,0.9,1,1.13,0,0,0,0,0,1,0,0.00,0,0,0,0,0,0
29,Ola Aina,ng NGA,DF,Torino,it Serie A,21,24.0,57,2.37,37,6,7,1,4,2,5,0.21,3,1,0,0,1,0
30,Youssef Aït Bennasser,ma MAR,MF,Saint-Étienne,fr Ligue 1,22,10.4,20,1.93,18,0,1,0,0,1,0,0.00,0,0,0,0,0,0
31,Youssef Aït Bennasser,ma MAR,MF,Monaco,fr Ligue 1,22,11.9,27,2.26,26,0,1,0,0,0,5,0.42,4,0,1,0,0,0
32,Rayan Aït Nouri,dz ALG,"DF,MF",Angers,fr Ligue 1,17,0.6,2,3.16,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
33,Ludovic Ajorque,fr FRA,FW,Strasbourg,fr Ligue 1,24,17.0,35,2.06,22,1,1,3,6,2,4,0.24,3,0,0,1,0,0
34,Manuel Akanji,ch SUI,DF,Dortmund,de Bundesliga,23,24.5,18,0.73,14,0,1,0,2,1,4,0.16,2,0,0,0,1,1
35,Carlos Akapo,gq EQG,DF,Huesca,es La Liga,25,11.4,17,1.51,11,2,2,1,1,0,2,0.18,1,0,0,0,1,0
36,Nathan Aké,nl NED,DF,Bournemouth,eng Premier League,23,37.9,24,0.63,19,0,0,4,1,0,1,0.03,0,0,0,0,1,0
37,Sergio Akieme,es ESP,DF,Rayo Vallecano,es La Liga,20,2.0,1,0.50,1,0,0,0,0,0,1,0.50,1,0,0,0,0,0
38,Chadrac Akolo,cd COD,"MF,FW",Stuttgart,de Bundesliga,23,5.8,21,3.60,15,0,3,2,1,0,1,0.17,1,0,0,0,0,0
39,Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,23,5.5,7,1.26,6,0,0,0,1,0,2,0.36,1,0,0,0,1,0
40,Kevin Akpoguma,ng NGA,DF,Hannover 96,de Bundesliga,23,3.5,4,1.15,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0
41,David Alaba,at AUT,DF,Bayern Munich,de Bundesliga,26,28.1,84,2.99,64,4,4,10,2,0,9,0.32,7,1,1,0,0,0
42,Sofiane Alakouch,ma MAR,DF,Nîmes,fr Ligue 1,20,21.1,56,2.66,37,6,7,0,6,0,5,0.24,4,0,0,0,1,0
43,Lucas Alario,ar ARG,"FW,MF",Leverkusen,de Bundesliga,25,14.1,31,2.21,29,0,0,1,1,0,4,0.28,4,0,0,0,0,0
44,Jordi Alba,es ESP,DF,Barcelona,es La Liga,29,33.2,84,2.53,76,3,1,0,3,1,13,0.39,12,0,0,0,1,0
45,Luis Alberto,es ESP,"MF,FW",Lazio,it Serie A,25,22.1,154,6.97,103,34,4,10,2,1,10,0.45,4,4,0,2,0,0
46,Raúl Albiol,es ESP,DF,Napoli,it Serie A,32,19.0,20,1.05,20,0,0,0,0,0,2,0.11,2,0,0,0,0,0
47,Miiko Albornoz,cl CHI,"DF,MF",Hannover 96,de Bundesliga,27,18.4,37,2.01,27,5,2,2,0,1,4,0.22,4,0,0,0,0,0
48,Marc Albrighton,eng ENG,"FW,MF",Leicester City,eng Premier League,28,18.1,47,2.60,37,4,3,3,0,0,4,0.22,4,0,0,0,0,0
49,Paco Alcácer,es ESP,FW,Dortmund,de Bundesliga,24,13.5,40,2.97,29,0,2,5,2,2,7,0.52,4,0,0,1,1,1
50,Pedro Alcalá,es ESP,DF,Girona,es La Liga,29,20.8,14,0.67,10,0,0,3,1,0,1,0.05,1,0,0,0,0,0
Rk,Player,Nation,Pos,Squad,Comp,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
51,Thiago Alcántara,es ESP,MF,Bayern Munich,de Bundesliga,27,26.8,98,3.66,71,16,4,1,4,2,9,0.34,7,2,0,0,0,0
52,Rubén Alcaraz,es ESP,MF,Valladolid,es La Liga,27,33.1,62,1.87,43,4,3,3,8,1,5,0.15,3,0,1,0,1,0
53,Toby Alderweireld,be BEL,DF,Tottenham,eng Premier League,29,32.5,34,1.05,29,0,1,4,0,0,2,0.06,2,0,0,0,0,0
54,Álex Alegría,es ESP,"FW,MF",Rayo Vallecano,es La Liga,25,1.6,4,2.57,3,0,0,1,0,0,0,0.00,0,0,0,0,0,0
55,Alexis Alegue,fr FRA,FW,Nantes,fr Ligue 1,21,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
56,Iván Alejo,es ESP,MF,Getafe,es La Liga,23,1.6,1,0.62,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
57,Carles Aleñá,es ESP,MF,Barcelona,es La Liga,20,7.1,27,3.82,25,0,0,1,1,0,5,0.71,4,0,0,1,0,0
58,Rúnar Alex Rúnarsson,is ISL,GK,Dijon,fr Ligue 1,23,25.0,5,0.20,3,2,0,0,0,0,0,0.00,0,0,0,0,0,0
59,Alexander,ar ARG,FW,Leganés,es La Liga,29,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
60,Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,19,27.4,96,3.51,62,24,6,2,1,1,18,0.66,13,5,0,0,0,0
61,Rachid Alioui,ma MAR,FW,Nîmes,fr Ligue 1,26,13.9,41,2.95,29,1,2,7,1,1,1,0.07,1,0,0,0,0,0
62,Alisson,br BRA,GK,Liverpool,eng Premier League,25,38.0,4,0.11,1,3,0,0,0,0,1,0.03,0,1,0,0,0,0
63,Bobby Allain,fr FRA,GK,Dijon,fr Ligue 1,26,13.0,2,0.15,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
64,Allan,br BRA,MF,Napoli,it Serie A,27,29.1,88,3.03,75,0,7,2,2,2,10,0.34,9,0,1,0,0,0
65,Allan,br BRA,MF,Eint Frankfurt,de Bundesliga,21,2.0,7,3.58,4,1,1,0,1,0,0,0.00,0,0,0,0,0,0
