Rk,Player,Nation,Pos,Squad,Comp,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
1,Max Aarons,eng ENG,DF,Norwich City,eng Premier League,21,32.0,1469,1130,332,17,5,4,50,315,0,0,0,0,1107,7,40
2,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,33,33.1,1578,1471,101,89,0,32,4,9,0,0,0,0,1284,6,26
3,Salis Abdul Samed,gh GHA,MF,Clermont Foot,fr Ligue 1,21,27.4,1701,1678,21,17,1,3,14,4,0,0,0,0,1535,2,29
4,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,28,32.8,1660,1617,35,25,7,21,37,8,2,0,1,0,1342,8,49
5,Charles Abi,fr FRA,FW,Saint-Étienne,fr Ligue 1,21,0.5,7,7,0,0,0,0,1,0,0,0,0,0,3,0,0
6,Dickson Abiama,ng NGA,FW,Greuther Fürth,de Bundesliga,22,8.1,137,129,6,0,2,0,3,0,0,0,0,0,84,2,6
7,Matthis Abline,fr FRA,FW,Rennes,fr Ligue 1,18,1.1,9,9,0,0,0,0,0,0,0,0,0,0,7,0,0
8,Tammy Abraham,eng ENG,FW,Roma,it Serie A,23,34.3,696,627,67,6,5,1,16,2,0,0,0,0,485,2,20
9,Luis Abram,pe PER,DF,Granada,es La Liga,25,6.2,226,216,9,5,0,0,0,2,0,0,0,0,191,1,4
10,Francesco Acerbi,it ITA,DF,Lazio,it Serie A,33,28.2,2043,1955,87,77,1,34,3,1,0,0,0,0,1837,1,6
11,Ragnar Ache,de GER,"MF,FW",Eint Frankfurt,de Bundesliga,23,2.9,64,61,2,0,0,1,6,2,0,0,0,0,37,1,4
12,Mohamed Achi,fr FRA,MF,Nantes,fr Ligue 1,19,0.1,9,9,0,0,0,0,0,0,0,0,0,0,6,0,0
13,Marcos Acuña,ar ARG,DF,Sevilla,es La Liga,29,25.1,1963,1624,333,63,3,30,178,230,40,0,31,0,1543,6,30
14,Che Adams,sct SCO,FW,Southampton,eng Premier League,25,22.7,472,468,2,0,4,5,8,1,0,0,0,0,304,2,22
15,Tyler Adams,us USA,MF,RB Leipzig,de Bundesliga,22,15.0,918,882,32,16,1,0,2,14,0,0,0,0,794,4,15
16,Sargis Adamyan,am ARM,"FW,MF",Hoffenheim,de Bundesliga,28,3.7,101,95,5,0,0,0,5,5,0,0,0,0,73,1,3
17,Martin Adeline,fr FRA,"MF,FW",Reims,fr Ligue 1,17,3.9,147,138,8,4,0,0,11,0,4,0,4,0,107,1,12
18,Amine Adli,fr FRA,"FW,MF",Leverkusen,de Bundesliga,21,14.0,516,494,17,1,6,0,21,11,1,0,0,0,376,5,27
19,Yacine Adli,fr FRA,"MF,FW",Bordeaux,fr Ligue 1,21,25.1,1251,1105,138,48,11,30,114,12,68,38,17,1,906,8,25
20,Michel Aebischer,ch SUI,MF,Bologna,it Serie A,24,4.9,239,225,13,5,0,1,7,1,7,0,4,0,205,1,5
21,Felix Afena-Gyan,gh GHA,"FW,MF",Roma,it Serie A,18,7.4,152,145,7,0,0,2,8,5,0,0,0,0,114,0,4
22,Martin Agirregabiria,es ESP,DF,Alavés,es La Liga,25,18.0,792,610,179,6,0,5,45,172,1,0,0,0,547,3,16
23,Julen Agirrezabala,es ESP,GK,Athletic Club,es La Liga,20,4.0,82,49,33,7,0,0,0,0,0,0,0,0,62,0,0
24,Lucien Agoume,fr FRA,MF,Brest,fr Ligue 1,19,20.8,996,955,38,30,0,10,5,0,1,0,1,0,836,3,20
25,Kevin Agudelo,co COL,"MF,FW",Spezia,it Serie A,22,13.7,389,375,11,1,0,1,22,4,4,3,1,0,280,3,22
Rk,Player,Nation,Pos,Squad,Comp,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
26,Nayef Aguerd,ma MAR,DF,Rennes,fr Ligue 1,25,30.4,2204,2127,74,69,2,41,1,5,0,0,0,0,1959,3,12
27,Sergio Agüero,ar ARG,FW,Barcelona,es La Liga,33,1.7,42,40,2,0,0,0,3,0,0,0,0,0,30,0,0
28,Ruben Aguilar,fr FRA,DF,Monaco,fr Ligue 1,28,23.8,1728,1445,277,34,4,16,64,242,1,0,1,0,1435,6,27
29,Álvaro Aguirre,es ESP,FW,Rayo Vallecano,es La Liga,21,0.1,3,2,1,0,0,0,0,1,0,0,0,0,3,0,0
30,Naouirou Ahamada,fr FRA,"MF,DF",Stuttgart,de Bundesliga,19,0.7,32,32,0,0,0,0,0,0,0,0,0,0,28,0,0
31,Anel Ahmedhodzic,ba BIH,DF,Bordeaux,fr Ligue 1,22,15.0,858,826,31,23,0,7,6,8,0,0,0,0,766,1,3
32,Jean-Eudes Aholou,ci CIV,MF,Strasbourg,fr Ligue 1,27,11.2,412,404,8,8,1,2,6,0,0,0,0,0,339,0,11
