Rk,Player,Nation,Pos,Squad,Comp,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off
1,Ismael Aaneba,fr FRA,DF,Strasbourg,fr Ligue 1,20,0,,,,,0,,0,0,,8,,,,,,,,,,,
2,Patrick van Aanholt,nl NED,DF,Crystal Palace,eng Premier League,28,29,2507,86,73.3,27.9,29,86,25,0,,0,1.24,21,38,-17,-0.61,-0.41,28.3,42.3,-14.0,-0.50,+0.21
3,Max Aarons,eng ENG,DF,Norwich City,eng Premier League,19,36,3240,90,94.7,36.0,36,90,36,0,,0,0.50,23,71,-48,-1.33,-0.83,34.6,62.1,-27.5,-0.76,+0.23
4,Diego Abbrandini,it ITA,GK,Brescia,it Serie A,17,0,,,,,0,,0,0,,3,,,,,,,,,,,
5,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,31,28,2520,90,100.0,28.0,28,90,28,0,,0,1.46,26,21,+5,+0.18,,30.6,28.5,+2.1,+0.08,
6,Suleiman Abdullahi,ng NGA,"FW,MF",Union Berlin,de Bundesliga,22,6,157,26,5.1,1.7,1,57,0,5,20,5,0.67,2,5,-3,-1.72,-1.29,3.1,4.0,-1.0,-0.55,-0.18
7,Mehdi Abeid,dz ALG,MF,Nantes,fr Ligue 1,26,25,1817,73,72.1,20.2,20,85,15,5,22,1,1.44,20,25,-5,-0.25,-0.50,20.8,25.4,-4.5,-0.22,-0.65
8,Charles Abi,fr FRA,FW,Saint-Étienne,fr Ligue 1,19,15,623,42,24.7,6.9,6,73,2,9,20,1,0.93,7,14,-7,-1.01,-0.58,8.3,10.9,-2.5,-0.37,-0.14
9,David Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,33,20,1688,84,55.2,18.8,19,86,15,1,61,5,1.85,32,27,+5,+0.27,+0.66,30.9,24.3,+6.6,+0.35,+0.15
10,Tammy Abraham,eng ENG,FW,Chelsea,eng Premier League,21,34,2215,65,64.8,24.6,25,81,9,9,20,0,1.82,45,34,+11,+0.45,+0.15,46.3,27.5,+18.8,+0.76,-0.12
11,Amir Abrashi,al ALB,MF,Freiburg,de Bundesliga,29,13,663,51,21.7,7.4,8,74,3,5,14,14,1.62,9,9,0,0.00,-0.04,9.6,12.2,-2.6,-0.35,+0.22
12,Francesco Acerbi,it ITA,DF,Lazio,it Serie A,31,36,3162,88,92.5,35.1,36,88,32,0,,1,2.00,74,38,+36,+1.02,+0.68,62.9,46.9,+16.0,+0.45,+0.14
13,Che Adams,sct SCO,FW,Southampton,eng Premier League,23,30,1111,37,32.5,12.3,12,73,0,18,13,6,1.47,17,17,0,0.00,+0.35,20.0,17.7,+2.3,+0.19,+0.15
