Rk,Player,Nation,Pos,Squad,Comp,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
1,Ismael Aaneba,fr FRA,DF,Strasbourg,fr Ligue 1,19,2.3,157,9,49,80,31,0,157,3,2,66.7,1,33.3,70,381,239,3,4,0,4,2,71,8
2,Patrick van Aanholt,nl NED,DF,Crystal Palace,eng Premier League,27,35.5,2300,123,666,1046,611,63,2300,42,22,52.4,20,47.6,1051,5415,3184,89,69,16,35,15,1335,106
3,Ignazio Abate,it ITA,DF,Milan,it Serie A,31,14.5,1070,67,342,579,156,11,1070,10,4,40.0,6,60.0,646,2673,1487,27,13,4,8,2,695,43
4,Issah Abbas,gh GHA,FW,Mainz 05,de Bundesliga,19,0.1,4,0,0,1,4,0,4,1,1,100.0,0,0.0,3,55,8,0,2,0,1,0,2,0
5,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,30,38.0,2027,259,1276,738,46,27,2027,23,21,91.3,2,8.7,1040,5366,2909,16,7,1,16,6,1182,1
6,Mehdi Abeid,dz ALG,MF,Dijon,fr Ligue 1,25,22.5,1356,30,252,870,258,21,1355,60,31,51.7,29,48.3,786,4914,2328,43,23,4,40,31,908,50
7,Charles Abi,fr FRA,"DF,FW",Saint-Étienne,fr Ligue 1,18,0.4,29,1,6,10,14,4,29,3,2,66.7,1,33.3,16,123,52,2,2,0,3,2,17,0
8,David Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,32,15.8,839,94,370,434,47,8,839,7,6,85.7,1,14.3,418,2652,1566,20,14,0,5,2,442,7
9,Amir Abrashi,al ALB,MF,Freiburg,de Bundesliga,28,8.8,461,24,112,294,58,1,461,5,3,60.0,2,40.0,193,944,422,6,4,1,4,8,266,9
10,Francesco Acerbi,it ITA,DF,Lazio,it Serie A,30,36.8,2178,257,1019,1060,112,28,2178,11,9,81.8,2,18.2,1191,7946,4406,39,26,2,20,8,1306,17
11,Afriyie Acquah,gh GHA,MF,Empoli,it Serie A,26,16.8,901,22,132,474,315,29,901,35,27,77.1,8,22.9,623,4409,2387,58,45,9,32,21,690,76
12,Tyler Adams,us USA,MF,RB Leipzig,de Bundesliga,19,8.0,641,16,87,443,119,6,641,19,14,73.7,5,26.3,292,1928,1164,19,19,0,18,6,405,12
13,Antonio Adán,es ESP,GK,Atlético Madrid,es La Liga,31,1.0,28,25,28,0,0,0,28,0,0,,0,,10,70,57,0,0,0,0,0,8,0
14,Aday,es ESP,"DF,MF",Girona,es La Liga,30,7.2,380,21,87,161,136,6,380,9,6,66.7,3,33.3,204,1587,836,35,24,5,8,4,227,40
15,Khaled Adénon,bj BEN,DF,Amiens,fr Ligue 1,33,22.2,1203,127,587,598,24,16,1203,1,1,100.0,0,0.0,687,3746,2202,13,4,0,5,7,701,1
16,Claud Adjapong,it ITA,"MF,FW",Sassuolo,it Serie A,20,3.0,147,5,29,62,59,8,147,14,6,42.9,8,57.1,71,399,168,6,4,4,12,6,79,19
17,Yacine Adli,fr FRA,MF,Bordeaux,fr Ligue 1,18,2.4,184,0,12,107,68,6,184,15,9,60.0,6,40.0,112,838,341,13,12,2,11,5,147,17
18,Ali Adnan Kadhim,iq IRQ,DF,Atalanta,it Serie A,24,1.8,137,7,34,56,50,4,137,7,5,71.4,2,28.6,73,419,252,7,2,0,0,1,79,11
19,Aritz Aduriz,es ESP,FW,Athletic Club,es La Liga,37,10.5,313,4,18,149,148,37,311,9,2,22.2,7,77.8,142,520,170,8,5,1,23,6,256,57
20,Luis Advíncula,pe PER,DF,Rayo Vallecano,es La Liga,28,26.5,1462,84,439,671,370,25,1462,53,39,73.6,14,26.4,824,4387,2172,51,32,7,41,33,865,136
21,Martin Agirregabiria,es ESP,DF,Alavés,es La Liga,22,22.6,1200,89,403,595,218,9,1200,39,26,66.7,13,33.3,478,2887,1656,36,21,4,20,11,567,56
22,Nayef Aguerd,ma MAR,DF,Dijon,fr Ligue 1,22,11.7,747,68,336,383,36,9,747,7,6,85.7,1,14.3,376,1848,1032,11,6,0,8,5,460,3
23,Sergio Agüero,ar ARG,FW,Manchester City,eng Premier League,30,27.3,1119,4,22,384,724,200,1117,73,45,61.6,28,38.4,824,4572,1987,81,60,35,74,54,896,253
24,Ruben Aguilar,fr FRA,DF,Montpellier,fr Ligue 1,25,28.1,1970,63,417,953,614,35,1970,71,36,50.7,35,49.3,921,5482,3172,85,60,9,47,26,1172,155
25,Juan Aguilera,es ESP,MF,Huesca,es La Liga,32,3.8,217,5,35,154,30,4,217,1,1,100.0,0,0.0,130,614,365,8,2,1,4,2,150,2
Rk,Player,Nation,Pos,Squad,Comp,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
26,Emmanuel Agyemang-Badu,gh GHA,MF,Udinese,it Serie A,27,1.8,53,4,10,31,12,2,53,2,0,0.0,2,100.0,25,106,25,2,2,0,4,2,32,5
27,Jean-Eudes Aholou,ci CIV,MF,Monaco,fr Ligue 1,24,11.9,661,10,110,439,124,17,661,17,10,58.8,7,41.2,395,2337,1422,36,24,4,14,9,441,27
28,Antonis Aidonis,de GER,DF,Stuttgart,de Bundesliga,17,0.9,46,0,6,18,22,1,46,1,0,0.0,1,100.0,14,49,28,0,0,0,1,0,17,3
29,Ola Aina,ng NGA,DF,Torino,it Serie A,21,24.0,1497,63,382,699,444,35,1497,61,30,49.2,31,50.8,658,4369,2412,62,56,6,35,23,761,96
30,Youssef Aït Bennasser,ma MAR,MF,Saint-Étienne,fr Ligue 1,22,10.4,748,12,174,494,87,2,748,16,11,68.8,5,31.3,382,1634,900,6,2,0,6,7,557,12
31,Youssef Aït Bennasser,ma MAR,MF,Monaco,fr Ligue 1,22,11.9,841,34,217,566,73,0,841,14,12,85.7,2,14.3,542,2920,1654,21,20,0,11,7,564,13
32,Rayan Aït Nouri,dz ALG,"DF,MF",Angers,fr Ligue 1,17,0.6,41,2,5,25,11,2,41,0,0,,0,,17,100,79,3,1,1,0,0,27,2
33,Ludovic Ajorque,fr FRA,FW,Strasbourg,fr Ligue 1,24,17.0,620,11,32,338,255,69,620,18,10,55.6,8,44.4,318,1204,334,11,13,4,41,23,482,126
34,Manuel Akanji,ch SUI,DF,Dortmund,de Bundesliga,23,24.5,2068,143,758,1249,68,17,2068,12,8,66.7,4,33.3,1445,8650,5018,24,13,1,9,6,1592,11
35,Carlos Akapo,gq EQG,DF,Huesca,es La Liga,25,11.4,566,39,184,255,133,14,566,14,8,57.1,6,42.9,228,1687,1091,33,29,9,8,3,261,28
36,Nathan Aké,nl NED,DF,Bournemouth,eng Premier League,23,37.9,2205,305,1260,813,141,50,2205,5,3,60.0,2,40.0,1299,6617,3890,20,18,2,18,6,1307,25
37,Sergio Akieme,es ESP,DF,Rayo Vallecano,es La Liga,20,2.0,107,7,32,49,27,0,107,2,2,100.0,0,0.0,60,364,204,5,5,0,4,4,65,9
38,Chadrac Akolo,cd COD,"MF,FW",Stuttgart,de Bundesliga,23,5.8,230,0,23,116,93,15,230,14,7,50.0,7,50.0,137,728,356,14,8,4,16,11,157,40
